date,open,high,low,close,volume,open_interest
2019-06-10,46110.0,46390.0,46050.0,46260.0,73470,207944
2019-06-11,46230.0,46940.0,46230.0,46900.0,163332,222788
2019-06-12,47020.0,47050.0,46420.0,46480.0,154314,232238
2019-06-13,46430.0,46620.0,46200.0,46270.0,140080,245120
2019-06-14,46270.0,46630.0,46240.0,46340.0,130014,240504
2019-06-17,46310.0,46350.0,46040.0,46150.0,122456,249026
2019-06-18,46050.0,46440.0,45990.0,46330.0,120452,249106
2019-06-19,46640.0,47040.0,46520.0,46840.0,240284,243916
2019-06-20,46780.0,46990.0,46660.0,46930.0,136528,244852
2019-06-21,46980.0,47170.0,46700.0,46850.0,165026,245690
2019-06-24,46720.0,47020.0,46660.0,46750.0,138246,245078
2019-06-25,46820.0,47130.0,46730.0,47090.0,151490,245042
2019-06-26,47150.0,47530.0,47150.0,47210.0,190358,241890
2019-06-27,47170.0,47260.0,46850.0,47090.0,136614,229534
2019-06-28,46920.0,47210.0,46840.0,47010.0,157210,222140
2019-07-01,46970.0,47450.0,46960.0,47360.0,124124,219918
2019-07-02,47110.0,47120.0,46540.0,46610.0,157822,218618
2019-07-03,46520.0,46520.0,46220.0,46250.0,117758,217632
2019-07-04,46390.0,46620.0,46320.0,46350.0,95224,209324
2019-07-05,46400.0,46520.0,46220.0,46280.0,70522,210286
2019-07-08,46240.0,46470.0,46150.0,46320.0,88026,202612
2019-07-09,46560.0,46570.0,46110.0,46190.0,133840,229856
2019-07-10,46000.0,46160.0,45640.0,46080.0,220588,247738
2019-07-11,46510.0,46690.0,46420.0,46590.0,171810,234434
2019-07-12,46620.0,46790.0,46500.0,46670.0,115792,235920
2019-07-15,46540.0,47020.0,46530.0,46910.0,153976,250068
2019-07-16,47020.0,47100.0,46790.0,46910.0,121524,244872
2019-07-17,46960.0,47280.0,46760.0,46860.0,174862,245778
2019-07-18,46760.0,46960.0,46620.0,46780.0,140190,243382
2019-07-19,46860.0,48040.0,46800.0,47970.0,375166,298182
2019-07-22,48330.0,48390.0,47360.0,47410.0,321630,256854
2019-07-23,47350.0,47510.0,47220.0,47300.0,133428,254056
2019-07-24,47190.0,47200.0,46750.0,47090.0,163518,250514
2019-07-25,47090.0,47160.0,46960.0,47020.0,98330,245950
2019-07-26,47200.0,47220.0,46910.0,47050.0,107252,242812
2019-07-29,46950.0,46980.0,46780.0,46900.0,119400,239976
2019-07-30,47030.0,47370.0,47000.0,47240.0,136426,231052
2019-07-31,46960.0,46980.0,46710.0,46720.0,137616,229580
2019-08-01,46720.0,46850.0,46520.0,46620.0,99920,222802
2019-08-02,46680.0,46740.0,46210.0,46440.0,132772,217660
2019-08-05,46080.0,46200.0,45760.0,46060.0,208996,224880
2019-08-06,45960.0,46320.0,45890.0,46150.0,113404,222182
2019-08-07,46080.0,46320.0,45940.0,45960.0,120076,226718
2019-08-08,46030.0,46720.0,45970.0,46510.0,218684,228864
2019-08-09,46670.0,46830.0,46460.0,46680.0,144142,223756
2019-08-12,46830.0,46940.0,46540.0,46750.0,151240,226266
2019-08-13,46700.0,46730.0,46530.0,46560.0,95910,228412
2019-08-14,46530.0,46960.0,46480.0,46580.0,203334,237278
2019-08-15,46400.0,46520.0,46320.0,46440.0,126988,239928
2019-08-16,46420.0,46550.0,46320.0,46550.0,101474,240352
2019-08-19,46390.0,46660.0,46340.0,46610.0,109274,244508
2019-08-20,46750.0,46780.0,46530.0,46620.0,92614,237416
2019-08-21,46490.0,46580.0,46260.0,46430.0,132222,238622
2019-08-22,46390.0,46520.0,46230.0,46310.0,103506,244300
2019-08-23,46410.0,46470.0,46160.0,46400.0,118304,241618
2019-08-26,46150.0,46330.0,45830.0,46020.0,186190,254512
2019-08-27,46260.0,46520.0,46180.0,46380.0,142254,235554
2019-08-28,46660.0,46700.0,46480.0,46560.0,112506,226328
2019-08-29,46500.0,46710.0,46480.0,46550.0,97492,216476
2019-08-30,46680.0,46870.0,46630.0,46690.0,126328,208136
2019-09-02,46710.0,46920.0,46510.0,46640.0,123850,203240
2019-09-03,46500.0,46500.0,46310.0,46370.0,87998,207882
2019-09-04,45940.0,46620.0,45730.0,46620.0,161926,213358
2019-09-05,46730.0,47280.0,46660.0,46970.0,192548,200536
2019-09-06,47430.0,47750.0,47300.0,47430.0,147064,192420
2019-09-09,47420.0,47560.0,47290.0,47420.0,127682,209738
2019-09-10,47290.0,47500.0,47240.0,47430.0,103648,212954
2019-09-11,47100.0,47410.0,47060.0,47290.0,128232,216244
2019-09-12,47240.0,47500.0,47010.0,47490.0,134652,220198
2019-09-16,47960.0,47970.0,47530.0,47560.0,94932,218820
2019-09-17,47580.0,47620.0,47230.0,47340.0,124252,219502
2019-09-18,47150.0,47440.0,47030.0,47310.0,127248,222872
2019-09-19,47100.0,47220.0,47030.0,47070.0,110658,223754
2019-09-20,47160.0,47220.0,47050.0,47130.0,85916,224280
2019-09-23,47140.0,47180.0,46850.0,46870.0,112904,217316
2019-09-24,46880.0,47260.0,46850.0,47120.0,111640,209636
2019-09-25,47160.0,47190.0,46950.0,47000.0,108694,209024
2019-09-26,46950.0,47320.0,46940.0,47120.0,119034,201414
2019-09-27,47100.0,47120.0,46650.0,46920.0,130866,195524
2019-09-30,46960.0,47340.0,46830.0,47250.0,130862,189614
2019-10-08,46830.0,46970.0,46750.0,46770.0,81262,191516
2019-10-09,46650.0,46750.0,46520.0,46600.0,99126,192544
2019-10-10,46570.0,46700.0,46480.0,46690.0,84542,195190
2019-10-11,46830.0,47070.0,46700.0,46910.0,137142,211746
2019-10-14,47000.0,47210.0,46920.0,46970.0,154220,223988
2019-10-15,46800.0,47060.0,46730.0,46960.0,118430,227710
2019-10-16,46950.0,46980.0,46750.0,46750.0,101484,230542
2019-10-17,46540.0,46720.0,46530.0,46650.0,105468,236596
2019-10-18,46750.0,46950.0,46570.0,46570.0,120310,236360
2019-10-21,47060.0,47180.0,46960.0,47020.0,171512,224038
2019-10-22,47200.0,47220.0,47060.0,47120.0,104472,223820
2019-10-23,47080.0,47210.0,46910.0,46930.0,109752,224948
